,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Susan C Stonich. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1044435255,10.1002/9781444307412.ch4,,,Enhancing Community‐Based Tourism Development and Conservation in the Western Caribbean,,Tourism and Applied Anthropologists,,2008-08-04,2008,,,77-86,Closed,Chapter,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1044435255,,,,,,
2,100,pub.1034077683,10.1525/napa.2005.23.1.77,,,ENHANCING COMMUNITY‐BASED TOURISM DEVELOPMENT AND CONSERVATION IN THE WESTERN CARIBBEAN,Annals of Anthropological Practice,,,2005-01,2005,23,1,77-86,Closed,Article,"STONICH, SUSAN C.",,"STONICH, SUSAN C. (University of California, Santa Barbara)",3,0,,1.11,,https://app.dimensions.ai/details/publication/pub.1034077683,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
3,100,pub.1010496670,10.1016/b0-08-043076-7/04133-4,,,"Ecology, Political",,International Encyclopedia of the Social & Behavioral Sciences,,2001,2001,,,4053-4058,Closed,Chapter,"Stonich, S.C.",,"Stonich, S.C. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1010496670,"1606 Political Science; 16 Studies in Human Society; 20 Language, Communication and Culture; 1604 Human Geography; 2002 Cultural Studies; 1601 Anthropology",1606 Political Science,16 Studies in Human Society,"20 Language, Communication and Culture",1604 Human Geography,2002 Cultural Studies
4,100,pub.1009527922,10.1525/aa.1998.100.3.832,,,Life and Death Matters: Human Rights and the Environment at the End of the Millennium,American Anthropologist,,,1998-09,1998,100,3,832-833,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1009527922,1605 Policy and Administration; 1699 Other Studies In Human Society; 1601 Anthropology; 16 Studies in Human Society,1605 Policy and Administration,1699 Other Studies In Human Society,1601 Anthropology,16 Studies in Human Society,
5,100,pub.1006364371,10.1559/152304098782594544,,,"Information Technologies, Advocacy, and Development: Resistance and Backlash to Industrial Shrimp Farming",Cartography and Geographic Information Science,,,1998-01,1998,25,2,113-122,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. ()",8,0,,,,https://app.dimensions.ai/details/publication/pub.1006364371,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
6,100,pub.1001922771,10.1016/s0160-7383(97)00037-6,,,Political ecology of tourism,Annals of Tourism Research,,,1998-01,1998,25,1,25-54,"All OA; Green, Accepted & Submitted",Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",127,22,,,http://www.glerl.noaa.gov/seagrant/ClimateChangeWhiteboard/Resources/Mac2/tourism political ecology.pdf,https://app.dimensions.ai/details/publication/pub.1001922771,"1505 Marketing; 1506 Tourism; 1504 Commercial Services; 15 Commerce, Management, Tourism and Services",1505 Marketing,1506 Tourism,1504 Commercial Services,"15 Commerce, Management, Tourism and Services",
7,100,pub.1045367506,10.1080/08941929709381016,,,Globalization of shrimp mariculture: The impact on social justice and environmental quality in central America,Society & Natural Resources,,,1997-03,1997,10,2,161-179,Closed,Article,"Stonich, Susan C.; Bort, John R.; Ovares, Luis L.",,"Stonich, Susan C. (University of California, Santa Barbara); Bort, John R. (East Carolina University); Ovares, Luis L. (National University of Costa Rica)",34,3,,,,https://app.dimensions.ai/details/publication/pub.1045367506,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
8,100,pub.1045718039,10.1007/bf01191647,,,The environmental quality and social justice implications of shrimp mariculture development in Honduras,Human Ecology,,,1995-06,1995,23,2,143-168,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",26,3,,,,https://app.dimensions.ai/details/publication/pub.1045718039,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
9,100,pub.1032332776,10.1080/09669589509510705,,,"Ethnicity, class, and gender in tourism development: The case of the Bay Islands, Honduras",Journal of Sustainable Tourism,,,1995-01,1995,3,1,1-28,Closed,Article,"Stonich, Susan C.; Sorensen, Jerrel H.; Hundt, Anna",,"Stonich, Susan C. (University of California, Santa Barbara); Sorensen, Jerrel H. (Direct Relief); Hundt, Anna (University of Washington)",25,2,,,,https://app.dimensions.ai/details/publication/pub.1032332776,16 Studies in Human Society; 1699 Other Studies In Human Society,16 Studies in Human Society,1699 Other Studies In Human Society,,,
10,200,pub.1036302479,10.1525/aa.1994.96.3.02a00720,,,Risk and Tenure in Arid Lands: The Political Ecology of Development in the Senegal River Basin. Thomas K. Park,American Anthropologist,,,1994-09,1994,96,3,770-771,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1036302479,1605 Policy and Administration; 1699 Other Studies In Human Society; 1601 Anthropology; 16 Studies in Human Society,1605 Policy and Administration,1699 Other Studies In Human Society,1601 Anthropology,16 Studies in Human Society,
11,100,pub.1041068577,10.1016/0305-750x(92)90031-p,,,Struggling with Honduran poverty: The environmental consequences of natural resource-based development and rural transformations,World Development,,,1992-03,1992,20,3,385-399,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",22,0,,,,https://app.dimensions.ai/details/publication/pub.1041068577,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
12,100,pub.1030130588,10.1111/j.1467-7660.1991.tb00432.x,,,"The Promotion of Non‐traditional Agricultural Exports in Honduras: Issues of Equity, Environment and Natural Resource Management",Development and Change,,,1991-10,1991,22,4,725-755,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",13,0,,,,https://app.dimensions.ai/details/publication/pub.1030130588,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
13,100,pub.1038796694,10.1017/s0022216x00013389,,,Rural Families and Income from Migration: Honduran Households in the World Economy*,Journal of Latin American Studies,,,1991-02,1991,23,1,131-161,Closed,Article,"Stonich, Susan C.",,"Stonich, Susan C. (University of California, Santa Barbara)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1038796694,16 Studies in Human Society; 21 History and Archaeology,16 Studies in Human Society,21 History and Archaeology,,,
